Nama Hotel,Tipe Properti,Bintang Hotel,Rating,Lokasi,Harga Diskon,Harga Asli,Fasilitas,URL Gambar
Restful and Good Choice 2BR Green Pramuka City Apartment near Mall By Travelio,Apartemen,0,N/A,"Rawasari, Jakarta",Rp 583.035,Rp 777.379,,N/A
Warm and Homey 1BR at Ciputra World 2 Apartment By Travelio,Apartemen,0,N/A,"Karet Semanggi, Jakarta",Rp 1.361.369,Rp 1.815.158,,N/A
Homey and Simply Studio Room at Kebagusan City Apartment,Apartemen,3,6.2 (1 ulasan),"Kebagusan, Jakarta",Rp 406.954,Rp 542.605,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/73000000/72670000/72666400/72666339/4a7b6463_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
2BR Bassura City Apartment with Nice Interior Design,Apartemen,3,N/A,"Cipinang, Jakarta",Rp 640.937,Rp 854.582,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/60000000/59210000/59202700/59202655/870e8505_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Scandinavian Style Residence 2BR Apartment at Woodland Park By Travelio,Apartemen,0,N/A,"Kalibata, Jakarta",Rp 966.210,Rp 1.288.279,Area main anak; Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67819393-79117aaa2d9557dc7b38dddebf04023e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Camping Ground in Kotok,Camping,0,N/A,"Kepulauan Seribu Selatan, Jakarta",Rp 311.220,Rp 414.959,,N/A
Cordex Lodan Ancol Jakarta,Lainnya,3,N/A,"Ancol, Jakarta",Rp 5.213.775.492,Rp 6.951.700.638,,N/A
Good Deal and Comfy Studio at Kebagusan City Apartment By Travelio,Apartemen,3,N/A,"Kebagusan, Jakarta",Rp 369.358,Rp 492.477,Area main anak,N/A
Great Choice and Spacious 3BR at The Empyreal Apartment,Apartemen,3,N/A,"Kuningan, Jakarta",Rp 1.882.493,Rp 2.509.990,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/65000000/64110000/64105100/64105034/32c8d8df_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Grand Lagoon,Resor,0,7.9 (2 ulasan),"Pulau Tidung, Jakarta",Rp 2.375.102,Rp 3.166.802,Banana boat; Pemancingan; Kano; Menyelam; Aktivitas outdoor,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20059196-59f9efb8a1a745ba2fad3196cc3cc037.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Spacious and Elegant 3BR at Menteng Park Apartment,Apartemen,4,N/A,"Cikini, Jakarta",Rp 2.548.830,Rp 3.398.439,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/77000000/76320000/76316000/76315957/732a2ea1_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Menara Jakarta Condo JI EXPO by Blezz,Apartemen,4,N/A,"Gunung Sahari, Jakarta",Rp 891.000,Rp 1.187.999,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/114000000/113900000/113899500/113899434/e8755b30_edited_db2c_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
