Nama Hotel,Tipe Properti,Bintang Hotel,Rating,Lokasi,Harga Diskon,Harga Asli,Fasilitas,URL Gambar
ARTOTEL Gelora Senayan Jakarta,Hotel,4,9.1 (778 ulasan),"Senayan, Jakarta",Rp 1.512.775,Rp 2.017.033,Restoran show cooking; Ruang santai; Sewa mobil; Layanan pijat,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20077495-69cef87d29a462867759d12ae1e40791.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Indonesia Kempinski Jakarta,Hotel,5,8.9 (5rb ulasan),"Thamrin, Jakarta",Rp 3.418.919,Rp 4.558.558,Area main anak; Sewa mobil; Fasilitas bisnis; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20020708-cba6d863056a1910b400710aacab716f.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Merlynn Park Hotel,Hotel,5,8.6 (17rb ulasan),"Petojo Utara, Jakarta",Rp 724.306,Rp 965.741,Great value in its class; Tanda khusus bagi tuna netra; Penitipan anak,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10000019-6db0cee95530d2b51487b4b1abfd433f.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Millennium Hotel Sirih Jakarta,Hotel,4,8.7 (6rb ulasan),"Tanah Abang, Jakarta",Rp 781.396,Rp 1.041.861,Pusat kebugaran; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000535-2f4f7bdc6f5a444c2f45fc15468a43f3.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Front One Boutique Hotel Taman Anggrek,Hotel,3,9.1 (666 ulasan),"Tanjung Duren, Jakarta",Rp 269.779,Rp 359.705,Karaoke; Layanan pijat; Fasilitas bisnis; Aksesibel bagi penyandang disabilitas; Spa,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20071455-2390b90a7859f2c31c3bd9af05efaf8f.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Mangkuluhur ARTOTEL SUITES,Hotel,5,"8.7 (1,4rb ulasan)","Gatot Subroto, Jakarta",Rp 1.052.580,Rp 1.403.439,Layanan pijat; Pusat kebugaran; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20053133-38b716f38fd273ef2ff135ea6d29243b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Manhattan Hotel Jakarta,Hotel,5,"8.3 (8,8rb ulasan)","Rasuna Said, Jakarta",Rp 1.034.017,Rp 1.378.689,Infinity Pool Unik; Tanda khusus bagi tuna netra; Dapur kecil; Fasilitas bisnis,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/7000000/6730000/6728900/6728849/605d35ea_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Pan Pacific Jakarta,Hotel,5,9.6 (100 ulasan),"Thamrin, Jakarta",Rp 2.350.515,Rp 3.134.019,Mandi uap; Pusat kebugaran; Bilyar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20075058-d45e60897eade30e3b3911eaaa9f1152.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Gran Melia Jakarta,Hotel,5,"8.8 (1,8rb ulasan)","Kuningan, Jakarta",Rp 1.981.784,Rp 2.642.378,Jacuzzi; Layanan pijat; Pusat kebugaran; Bar di kolam renang; Sauna; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001888-2200x1467-FIT_AND_TRIM-d115ee6fb49b5c1b3d20fc6850088a8c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
grandkemang Hotel,Hotel,4,"8.4 (3,6rb ulasan)","Kemang, Jakarta",Rp 508.904,Rp 678.538,Bar; Klub malam; Sewa mobil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10013035-1200x845-FIT_AND_TRIM-affbbd70857894e2e5d0a3fbc7e91c67.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Oak Tree Urban Hotel Jakarta,Hotel,3,"7.9 (4,7rb ulasan)","Mahakam, Jakarta",Rp 418.555,Rp 558.073,Great value in its class; Layanan pijat; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007021-a958388bdc85341e5b278b53e183063d.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Aston Pluit Hotel & Residence,Hotel,4,"8.3 (5,3rb ulasan)","Pluit, Jakarta",Rp 586.588,Rp 782.117,Layanan pijat; Pusat kebugaran; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007198-1189x1800-FIT_AND_TRIM-373e3b248e4f37b8d8e084a3b246efc9.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Royal Kuningan Hotel,Hotel,4,"8.5 (7,3rb ulasan)","Rasuna Said, Jakarta",Rp 606.978,Rp 809.303,Great value in its class; Aksesibel bagi penyandang disabilitas; Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007129-e0e74150c8e24c550a63fb126570b4b6.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
PARKROYAL Serviced Suites Jakarta,Hotel,4,9.4 (122 ulasan),"Thamrin, Jakarta",Rp 2.515.326,Rp 3.353.767,Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20073104-6891f46860026c0d8bfb3f282928e361.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Gran Mahakam,Hotel,5,"8.9 (1,4rb ulasan)","Gandaria, Jakarta",Rp 1.916.462,Rp 2.555.282,Layanan pijat; Pusat kebugaran; Aksesibel bagi penyandang disabilitas; Sauna,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10005356-560758aadd5d0f07102586ae82be6a83.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Yuan Garden Pasar Baru,Hotel,4,"8.5 (4,3rb ulasan)","Pasar Baru, Jakarta",Rp 535.626,Rp 714.167,Aerobik; Layanan pijat; Pusat kebugaran; Bar di kolam renang,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20007376-8981e146e3f7d479f7486ea464b3e8ed.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Urbanest Inn House Slipi,Homestay,3,"8.4 (1,7rb ulasan)","Kemanggisan, Jakarta",Rp 232.105,Rp 309.473,Area main anak; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20022800-f1bbe8d2068b1925e9942b3fac752674.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Ambhara Hotel,Hotel,4,"8.3 (4,9rb ulasan)","Melawai, Jakarta",Rp 689.097,Rp 918.795,Layanan pijat; Spa,N/A
"The Langham, Jakarta",Hotel,5,9.1 (765 ulasan),"Senayan, Jakarta",Rp 4.344.514,Rp 5.792.685,Aktivitas outdoor; Klub kesehatan; Pusat kebugaran; Fasilitas bisnis,N/A
Wyndham Casablanca Jakarta,Hotel,5,"8.8 (4,8rb ulasan)","Casablanca, Jakarta",Rp 982.801,Rp 1.310.401,Area main anak; Klub anak; Sewa mobil; Pusat kebugaran; Fasilitas bisnis; Bar,N/A
"Hotel Mulia Senayan, Jakarta",Hotel,5,8.8 (2rb ulasan),"Senayan, Jakarta",Rp 3.649.902,Rp 4.866.535,Penitipan sepeda; Klub kesehatan; Sewa mobil; Pusat kebugaran,N/A
Sunlake Waterfront Resort & Convention Jakarta,Hotel,5,8.6 (11rb ulasan),"Sunter, Jakarta",Rp 599.902,Rp 799.869,Kolam Renang Ukuran Olympic; Klub anak; Bilyar; Fasilitas bisnis,N/A
Discovery Ancol,Hotel,4,8.2 (5rb ulasan),"Ancol, Jakarta",Rp 1.149.877,Rp 1.533.169,Ruang santai; Area main anak; Klub anak; Layanan pijat; Pusat kebugaran; Spa,N/A
Aryaduta Menteng,Hotel,5,"8.5 (7,8rb ulasan)","Gambir, Jakarta",Rp 660.754,Rp 881.005,Great value in its class; Bar; Bar di kolam renang,N/A
Grand Hyatt Jakarta,Hotel,5,"8.7 (2,3rb ulasan)","Thamrin, Jakarta",Rp 2.932.200,Rp 3.909.599,Basket; Penyewaan sepeda; Handuk pantai; Fasilitas bisnis,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20014186-c737c95190183654c99524c80a18ae58.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
The Sultan Hotel & Residence Jakarta,Hotel,5,"8.6 (7,7rb ulasan)","Senayan, Jakarta",Rp 1.114.865,Rp 1.486.486,Basket; Penyewaan sepeda; Sewa mobil; Fasilitas bisnis; Antar-jemput bandara; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000618-4096x2574-FIT_AND_TRIM-1c7e3bccc708758c5fafac8a5dc8c10f.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Aston Kartika Grogol Hotel & Conference Center,Hotel,4,"8.6 (4,8rb ulasan)","Grogol, Jakarta",Rp 728.493,Rp 971.323,Great value in its class; Layanan pijat; Pusat kebugaran; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20021896-dc4ce697465e69068e60513be7ba9124.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
HARRIS Suites Puri Mansion,Hotel,4,"8.6 (2,5rb ulasan)","Duri Kosambi, Jakarta",Rp 678.133,Rp 904.177,Klub anak; Layanan pijat; Pusat kebugaran; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20042083-20d6780c9e1f5e66b525eb43a0c62d43.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Mercure Jakarta Gatot Subroto,Hotel,4,"8.7 (2,8rb ulasan)","Gatot Subroto, Jakarta",Rp 1.248.000,Rp 1.663.999,Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/rvN7CENfvyT2YVqT-7R6UjRIibYDnsWI+-nAv8mJ7GI=/121546/photos/75786639_XL.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Mercure Convention Center Ancol - CHSE Certified,Hotel,4,"8.6 (7,2rb ulasan)","Ancol, Jakarta",Rp 1.942.214,Rp 2.589.618,Area main anak; Penitipan anak; Check-out ekspress,N/A
favehotel Melawai,Hotel,2,"8.4 (8,4rb ulasan)","Melawai, Jakarta",Rp 534.398,Rp 712.530,Aksesibel bagi penyandang disabilitas,N/A
Aryaduta Suite Semanggi,Hotel,4,"8.4 (5,4rb ulasan)","Karet Semanggi, Jakarta",Rp 859.951,Rp 1.146.601,Great value in its class; Squash; Area main anak; Tennis; Dapur kecil; Bar,N/A
Hotel GranDhika Iskandarsyah,Hotel,4,"8.6 (5,2rb ulasan)","Melawai, Jakarta",Rp 904.177,Rp 1.205.569,Great value in its class; Layanan pijat; Pusat kebugaran; Teras rooftop,N/A
Park 5 Simatupang,Hotel,3,8.6 (12rb ulasan),"Cilandak Barat, Jakarta",Rp 561.645,Rp 747.385,Great value in its class; Layanan pijat; Pusat kebugaran,N/A
Fairmont Jakarta,Hotel,5,"8.9 (1,2rb ulasan)","Senayan, Jakarta",Rp 3.510.000,Rp 4.679.999,Area main anak; Check-out ekspress,N/A
eL Hotel Jakarta,Hotel,4,"8.4 (8,9rb ulasan)","Kelapa Gading Barat, Jakarta",Rp 566.421,Rp 755.227,Bar di kolam renang; Aksesibel bagi penyandang disabilitas; Bar,N/A
Grand Tjokro Jakarta,Hotel,4,"8.3 (7,7rb ulasan)","Tanjung Duren, Jakarta",Rp 459.623,Rp 612.830,Terletak di dekat Pusat Perbelanjaan; Sewa mobil; Pusat kebugaran; Bar,N/A
Ashley Wahid Hasyim Jakarta,Hotel,4,8.7 (10rb ulasan),"Gondangdia, Jakarta",Rp 888.832,Rp 1.185.109,Sangat disukai oleh Business Traveler; Aksesibel bagi penyandang disabilitas; Spa,N/A
Asyana Kemayoran Jakarta,Hotel,3,"8.9 (2,3rb ulasan)","Kemayoran, Jakarta",Rp 372.063,Rp 496.083,Great value in its class; Tanda khusus bagi tuna netra; Bar di kolam renang,N/A
25hours Hotel Jakarta The Oddbird,Hotel,5,9.4 (98 ulasan),"Senayan, Jakarta",Rp 2.700.000,Rp 3.599.999,,N/A
Hotel Ciputra Jakarta managed by Swiss-Belhotel International,Hotel,4,8.5 (10rb ulasan),"Tanjung Duren, Jakarta",Rp 835.381,Rp 1.113.841,Layanan pijat; Fasilitas bisnis; Bar di kolam renang; Bar,N/A
MaxOneHotels.com @ Platinum Hayam Wuruk Jakarta,Hotel,3,"8.5 (6,1rb ulasan)","Harmoni, Jakarta",Rp 409.500,Rp 545.999,Teras rooftop; Aksesibel bagi penyandang disabilitas,N/A
Cityloog Hotel Tebet Jakarta,Hotel,4,9.2 (303 ulasan),"Manggarai Selatan, Jakarta",Rp 635.444,Rp 847.258,Great value in its class; Area main anak; Pusat kebugaran; Bilyar,N/A
Swiss-Belinn Cawang,Hotel,4,"8.5 (8,8rb ulasan)","Cawang, Jakarta",Rp 409.500,Rp 545.999,Layanan pijat; Aksesibel bagi penyandang disabilitas; Bar,N/A
Ashley Tang Menteng,Hotel,4,9.1 (874 ulasan),"Jalan Sabang, Jakarta",Rp 1.024.063,Rp 1.365.417,Terletak di dalam Tempat Kuliner; Pusat kebugaran,N/A
"Harper MT Haryono, Cawang by ASTON",Hotel,3,"8.5 (9,7rb ulasan)","Jatinegara, Jakarta",Rp 550.636,Rp 734.181,Bar; Aksesibel bagi penyandang disabilitas; Bar,N/A
Oakwood Apartments PIK Jakarta (Pantai Indah Kapuk),Apartemen,5,8.2 (987 ulasan),"Kamal Muara, Jakarta",Rp 1.531.532,Rp 2.042.042,Bersepeda atau bersepeda gunung; Area main anak; Penitipan anak,N/A
Kristal Hotel Jakarta,Hotel,4,"8.7 (3,2rb ulasan)","Cilandak Barat, Jakarta",Rp 566.930,Rp 755.906,Menyelam; Area main anak; Tennis; Bilyar; Bar di kolam renang; Bar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10009651-48bb05452153e9012ed14194de79d2b1.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Ascott Sudirman Jakarta,Apartemen,5,"8.6 (2,5rb ulasan)","Karet Semanggi, Jakarta",Rp 1.940.000,Rp 2.586.666,Pusat kebugaran; Fasilitas bisnis; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20014445-7aa194ab87a9a6b177d56806aaa49e5c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Ayaka Suites,Hotel,3,"8.7 (5,4rb ulasan)","Kuningan, Jakarta",Rp 595.500,Rp 793.999,Great value in its class; Layanan pijat; Pusat kebugaran; Fasilitas bisnis; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10011627-3992x2992-FIT_AND_TRIM-6cae0be6c09fa3f4b5653cc54f3aa24f.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
The Grove Suites by Grand Aston,Hotel,5,"8.7 (2,8rb ulasan)","Kuningan, Jakarta",Rp 1.333.380,Rp 1.777.839,Layanan pijat; Pusat kebugaran; Antar-jemput bandara; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007122-2300x1533-FIT_AND_TRIM-061af0dd385fb24044159346494c0597.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Golden Boutique Hotel Melawai,Hotel,4,"8.4 (3,2rb ulasan)","Melawai, Jakarta",Rp 514.035,Rp 685.379,Terletak di dekat Pusat Perbelanjaan; Karaoke; Penitipan anak; Sewa mobil,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001226-1092x1328-FIT_AND_TRIM-e5ed871c8ff591c2ac81d2deaa79b867.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
The Acacia Jakarta,Hotel,4,"8.3 (4,7rb ulasan)","Kramat, Jakarta",Rp 458.123,Rp 610.830,Great value in its class; Layanan pijat; Pusat kebugaran; Sauna; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10001698-382cafbd447b83cd3048a6c98bd2e1cc.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Fraser Residence Menteng Jakarta,Hotel,5,"8.8 (1,5rb ulasan)","Kebon Sirih, Jakarta",Rp 977.988,Rp 1.303.983,Area main anak; Layanan pijat; Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10024865-81d72acd8daf35b9f8323c26e5a2f05c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Amaris Hotel Thamrin City - Jakarta,Hotel,2,"8.3 (7,5rb ulasan)","Thamrin, Jakarta",Rp 424.816,Rp 566.421,Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001982-e084599a428e317550bf97a36f857116.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Tavia Heritage Hotel,Hotel,4,9.3 (231 ulasan),"Cempaka Putih Barat, Jakarta",Rp 480.344,Rp 640.458,Great value in its class; Layanan pijat; Pusat kebugaran; Sauna; Spa,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20081054-4173a3814a7cc77ed6e1fe697a4fd9f9.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
JS Luwansa Hotel And Convention Center,Hotel,4,"8.6 (3,7rb ulasan)","Rasuna Said, Jakarta",Rp 1.437.828,Rp 1.917.103,Layanan pijat; Pusat kebugaran; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20001974-9a5a32fc451029798ca1abf1c0015e25.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Santika Premiere Slipi Jakarta,Hotel,4,"8.6 (5,8rb ulasan)","Slipi, Jakarta",Rp 1.104.832,Rp 1.473.109,Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10004998-6a7ff52bf1fd63317d537c447b10e356.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Verse Lite Hotel Gajah Mada,Hotel,3,"8.4 (5,9rb ulasan)","Petojo Utara, Jakarta",Rp 295.145,Rp 393.526,Great value in its class,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10028056-b8510a640ad92285862aee40fb12e148.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Kimaya Slipi Jakarta by Harris,Hotel,4,"8.8 (1,3rb ulasan)","Slipi, Jakarta",Rp 532.577,Rp 552.826,Layanan pijat; Pusat kebugaran; Bilyar; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20054376-b6063c00bfd7a85ea1db9ec79346a31a.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Mega Anggrek Hotel Jakarta Slipi,Hotel,3,"8.2 (6,7rb ulasan)","Kemanggisan, Jakarta",Rp 276.442,Rp 368.589,Pengering pakaian; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001660-08b30205c2c00b4152f0cdea21b7f0e5.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Oakwood Hotel & Apartments Taman Mini Jakarta,Hotel,4,8.9 (492 ulasan),"Taman Mini, Jakarta",Rp 902.815,Rp 1.203.753,Layanan pijat; Pusat kebugaran; Fasilitas bisnis,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20064231-22fe065721cb07b2b829c9547c71a684.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Avenzel Hotel & Convention Cibubur,Hotel,4,9.6 (27 ulasan),"Cibubur, Jakarta",Rp 730.165,Rp 973.553,Area main anak; Penitipan anak; Pusat kebugaran; Fasilitas bisnis,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20087584-96c64821569cfd109b6ed05ac7f2caa0.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Veranda Hotel Pakubuwono,Hotel,4,"8.6 (3,7rb ulasan)","Kebayoran Lama Utara, Jakarta",Rp 1.203.931,Rp 1.605.241,Great value in its class; Sewa mobil; Pusat kebugaran; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10001723-f2df6090137594c5d6f7f80d80f3a279.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Verse Luxe Hotel Wahid Hasyim,Hotel,3,"8.2 (5,4rb ulasan)","Kebon Kacang, Jakarta",Rp 476.986,Rp 635.981,Great value in its class; Layanan pijat; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10036666-96c8071732ed218bcb36bb422ead6301.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Yello Hotel Harmoni,Hotel,3,8.7 (13rb ulasan),"Harmoni, Jakarta",Rp 630.631,Rp 840.841,Desain Artistik; Restoran show cooking; Layanan pijat; Spa,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10028304-1c05faa82ecbefc42eea387d4338c620.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Akmani Hotel Jakarta,Hotel,4,"8.2 (4,5rb ulasan)","Gondangdia, Jakarta",Rp 778.051,Rp 1.037.401,Great value in its class; Penitipan anak; Layanan pijat,N/A
Swiss-Belhotel Pondok Indah,Hotel,4,"8.5 (4,5rb ulasan)","Pondok Indah, Jakarta",Rp 778.678,Rp 1.038.237,Sewa mobil; Layanan pijat; Pusat kebugaran,N/A
Swissôtel Jakarta PIK Avenue,Hotel,5,"8.5 (1,8rb ulasan)","Kamal Muara, Jakarta",Rp 2.570.000,Rp 3.426.666,Check-out ekspress,N/A
